 "value" , "label" , "location" , "region" , "occorrenze" ,
 "http://iconclass.org/10" , "rappresentazioni (simboliche) ~ la creazione, cosmo, cosmogonia, universo e vita (in senso lato)" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11B13" , "la Trinità rappresentata da tre animali con unica testa" ,  ,  , "1" ,
 "http://iconclass.org/11D12" , "la croce ~ simboli di Cristo" , "https://sacred_space.com/resource/hertziana/man-made_object/SIC_PA_Monreale_ComplessodellaCattedralediMonreale_CattedralediSMariaNuova" , "https://sacred_space.com/resource/hertziana/place/sicilia" , "3" ,
 "http://iconclass.org/11D13122" , "aquila come simbolo di Cristo" , "https://sacred_space.com/resource/hertziana/man-made_object/CAM_SA_Amalfi_ComplessodellaCattedralediAmalfi/01_CattedralediSAndreaApostolo" ,  , "1" ,
 "http://iconclass.org/11G" , "angeli" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/11H%28JANUARIUS%29" , "San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue" , "https://sacred_space.com/resource/hertziana/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli" ,  , "1" ,
 "http://iconclass.org/11H%28JANUARIUS%29" , "San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue" , "https://sacred_space.com/resource/hertziana/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli_01_CattedralediSMariaAssunta" ,  , "1" ,
 "http://iconclass.org/11I12" , "i dodici profeti minori (non in contesto biblico): Osea, Gioele, Amos, Abdiah, Giona, Michea, Naum (Nahum), Abacuc, Sofonia, Aggeo, Zaccaria, Malachia" ,  , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I421" , "aquila (generalmente con libro) ~ simbolo di San Giovanni Evangelista" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I421" , "aquila (generalmente con libro) ~ simbolo di San Giovanni Evangelista" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/11I421" , "aquila (generalmente con libro) ~ simbolo di San Giovanni Evangelista" ,  ,  , "1" ,
 "http://iconclass.org/11I422" , "bue (generalmente con libro) ~ simbolo di San Luca" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I422" , "bue (generalmente con libro) ~ simbolo di San Luca" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I423" , "leone (generalmente con libro) ~ simbolo di San Marco" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I423" , "leone (generalmente con libro) ~ simbolo di San Marco" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I424" , "angelo (generalmente con libro) ~ simbolo di San Matteo" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I424" , "angelo (generalmente con libro) ~ simbolo di San Matteo" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/11I62%28AARON%29" , "Aronne (non in contesto biblico); attributi: abiti da sommo sacerdote o vescovo, incensiere, vaso per unguenti, verga o bastone fiorito" ,  , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/14" , "astrologia" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/23O43" , "sagittario (segno zodiacale di novembre)" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F23%28%2B512%29" , "predatori, rapaci (+ animale/i che aggredisce)" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/25F23%28%2B512%29" , "predatori, rapaci (+ animale/i che aggredisce)" ,  ,  , "1" ,
 "http://iconclass.org/25F23%28BEAR%29" , "predatori, rapaci: orso" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25F23%28LION%29" , "predatori, rapaci: leone" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F23%28LION%29" , "predatori, rapaci: leone" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/25F23%28LION%29" , "predatori, rapaci: leone" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "2" ,
 "http://iconclass.org/25F23%28LION%29" , "predatori, rapaci: leone" ,  ,  , "1" ,
 "http://iconclass.org/25F23%28PANTHER%29" , "predatori, rapaci: pantera" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/25F23%28PANTHER%29" , "predatori, rapaci: pantera" ,  ,  , "1" ,
 "http://iconclass.org/25F24%28BOAR%29" , "ungulati: cinghiale" ,  ,  , "1" ,
 "http://iconclass.org/25F24%28STAG%29" , "ungulati: cervo" , "https://sacred_space.com/resource/hertziana/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli_01_CattedralediSMariaAssunta" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F24%28STAG%29" , "ungulati: cervo" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F24%28STAG%29" , "ungulati: cervo" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25F24%28STAG%29" , "ungulati: cervo" ,  ,  , "1" ,
 "http://iconclass.org/25F26%28HARE%29" , "roditori: lepre" , "https://sacred_space.com/resource/hertziana/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli_01_CattedralediSMariaAssunta" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F26%28HARE%29" , "roditori: lepre" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F3" , "uccelli" , "https://sacred_space.com/resource/hertziana/man-made_object/SIC_PA_Monreale_ComplessodellaCattedralediMonreale_CattedralediSMariaNuova" , "https://sacred_space.com/resource/hertziana/place/sicilia" , "3" ,
 "http://iconclass.org/25F3" , "uccelli" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25F3" , "uccelli" ,  ,  , "1" ,
 "http://iconclass.org/25F33" , "uccelli rapaci" ,  ,  , "1" ,
 "http://iconclass.org/25F33%28EAGLE%29" , "uccelli rapaci: aquila" , "https://sacred_space.com/resource/hertziana/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli/man-made_object/CAM_NA_Napoli_ComplessodellaCattedralediNapoli_01_CattedralediSMariaAssunta" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F33%28EAGLE%29" , "uccelli rapaci: aquila" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25F33%28EAGLE%29" , "uccelli rapaci: aquila" ,  ,  , "1" ,
 "http://iconclass.org/25F36%28DUCK%29" , "uccelli acquatici: anatra" , "http://www.openstreetmap.org/relation/40620" , "https://sacred_space.com/resource/hertziana/place/campania" , "2" ,
 "http://iconclass.org/25F36%28DUCK%29" , "uccelli acquatici: anatra" , "http://www.openstreetmap.org/relation/40620" , "https://sacred_space.com/resource/hertziana/place/lazio" , "1" ,
 "http://iconclass.org/25F6" , "pesci" ,  ,  , "2" ,
 "http://iconclass.org/25FF" , "animali fantastici (talvolta detti erroneamente 'grottesche'); 'Mostri' (Ripa)" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25FF" , "animali fantastici (talvolta detti erroneamente 'grottesche'); 'Mostri' (Ripa)" ,  ,  , "1" ,
 "http://iconclass.org/25FF23%28...%29" , "animali fantastici ~ predatori (col NOME)" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25FF23%28LION%29" , "predatori, rapaci: leone - FF - animali fantastici" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25FF231" , "grifone (leone/aquila); 'Griffo' (Ripa)" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25FF24%28PEGASUS%29" , "animali fantastici ~ ungulati : Usare 93 D 1 Pegaso, il cavallo alato, o 25 FF (WINGED HORSE) per cavallo alato (in contesto non classico)" , "http://www.researchspace.org/resource/man-made_object/CAM_NA_Napoli_SGiovanniMaggiore" ,  , "1" ,
 "http://iconclass.org/25FF24%28STAG%29" , "ungulati: cervo - FF - animali fantastici" , "http://www.researchspace.org/resource/man-made_object/CAM_NA_Napoli_SGiovanniMaggiore" ,  , "1" ,
 "http://iconclass.org/25FF25%28ELEPHANT%29" , "proboscidati: elefante - FF - animali fantastici" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25FF29" , "animali fantastici ~ altri mammiferi" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25FF3%28...%29" , "animali fantastici ~ uccelli (col NOME)" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25FF3%28HARPY%29" , "animali fantastici ~ uccelli: arpia" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25FF33%28EAGLE%29" , "uccelli rapaci: aquila - FF - animali fantastici" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25FF422" , "drago (grande serpente favoloso, talvolta con ali e zampe)" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/25FF422" , "drago (grande serpente favoloso, talvolta con ali e zampe)" ,  ,  , "2" ,
 "http://iconclass.org/25G" , "piante; vegetazione" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/25G" , "piante; vegetazione" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25G31" , "arbusti" , "http://www.researchspace.org/resource/man-made_object/CAM_NA_Napoli_SGiovanniMaggiore" ,  , "1" ,
 "http://iconclass.org/25G41" , "fiori" , "https://sacred_space.com/resource/hertziana/man-made_object/SIC_PA_Monreale_ComplessodellaCattedralediMonreale_CattedralediSMariaNuova" , "https://sacred_space.com/resource/hertziana/place/sicilia" , "3" ,
 "http://iconclass.org/25G41" , "fiori" ,  ,  , "1" ,
 "http://iconclass.org/25GG" , "piante fantastiche, vegetazione fantastica" ,  ,  , "1" ,
